Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
KNeighborsClassifier,0.7975432211101001,0.7896241830065359,0.837521663778163,0.8128679562657696,0.8862743987264023,0.5927684137074225,0.3287475109100342
RandomForestClassifier,0.8919472247497725,0.8829920601755119,0.9155112651646448,0.8989576685811529,0.9587148357869014,0.7829306862679464,2.644965887069702
AdaBoostClassifier,0.7213375796178344,0.7168602322787345,0.7755632582322357,0.745057232049948,0.8014311374064557,0.4388549811454606,1.3365907669067383
ExtraTreesClassifier,0.885122838944495,0.8745326132114666,0.9120450606585788,0.8928950159066809,0.9540022377603803,0.7691471303065962,0.885237455368042
XGBClassifier,0.8944494995450409,0.886744966442953,0.915944540727903,0.9011082693947144,0.9661260682483716,0.7880011906682209,0.24007606506347656
LGBMClassifier,0.887852593266606,0.8767123287671232,0.9150779896013865,0.8954844180623277,0.958706431735028,0.7746224308932166,0.15839695930480957
GradientBoostingClassifier,0.8050500454959054,0.7931313131313131,0.8505199306759099,0.8208237507840268,0.8907657938073136,0.6076254172799409,5.717772006988525
