Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
KNeighborsClassifier,0.8691992720655141,0.8579099545642297,0.8999133448873483,0.8784098117995348,0.9352969971181364,0.7370635079474913,0.2964961528778076
RandomForestClassifier,0.899909008189263,0.8837304847986853,0.9319757365684576,0.9072121467735133,0.9639996356169114,0.798736546989081,2.3091206550598145
AdaBoostClassifier,0.7961783439490446,0.7790513833992095,0.8539861351819757,0.8147995039272427,0.8705233379482991,0.5892517629941827,1.133986473083496
ExtraTreesClassifier,0.8978616924476797,0.8848861283643892,0.9259098786828422,0.904933305102689,0.960826016620517,0.7947090840786182,0.7800395488739014
XGBClassifier,0.9051410373066424,0.8892548373816386,0.9358752166377816,0.9119696010132996,0.9687124411508862,0.8092789661812387,0.2167222499847412
LGBMClassifier,0.8987716105550501,0.8847583643122676,0.9280762564991335,0.9058997673926834,0.9655407934753015,0.7965100191941454,0.14922118186950684
GradientBoostingClassifier,0.8639672429481347,0.8409090909090909,0.9137781629116117,0.8758305647840532,0.9360093702065779,0.7260005203139227,4.8980700969696045
