Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
KNeighborsClassifier,0.8696542311191993,0.8607068607068608,0.8968804159445407,0.8784213876511776,0.9368640934082353,0.7380739758515975,0.2915534973144531
RandomForestClassifier,0.9012738853503185,0.8913951545530493,0.9246100519930676,0.9076988515525308,0.9626510446755248,0.801662659440075,2.66768217086792
AdaBoostClassifier,0.7449954504094631,0.7315645727662895,0.8123916811091855,0.7698624512420448,0.8306510919872242,0.48571692157926005,1.4200599193572998
ExtraTreesClassifier,0.901501364877161,0.8907878282617757,0.9259098786828422,0.9080093477799023,0.9597825653897488,0.8020970270075819,0.7830038070678711
XGBClassifier,0.8962693357597816,0.887123745819398,0.9194107452339688,0.9029787234042553,0.9650373803927036,0.7916182245485528,0.23138213157653809
LGBMClassifier,0.8901273885350318,0.8803668195081283,0.9150779896013865,0.8973868706182282,0.9597587020325771,0.779244489710536,0.13669347763061523
GradientBoostingClassifier,0.8248407643312102,0.8076,0.8747833622183708,0.8398502495840267,0.9162708461987956,0.6472560141926276,6.232856750488281
