Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
KNeighborsClassifier,0.9848066298342542,0.9779735682819384,0.9895988112927192,0.983751846381093,0.9921209797248718,0.9694855962742082,0.15055179595947266
RandomForestClassifier,0.9861878453038674,0.9794419970631424,0.9910846953937593,0.9852289512555391,0.99769496237358,0.9722596329765528,0.3657112121582031
AdaBoostClassifier,0.9830801104972375,0.9807264640474426,0.9829123328380386,0.9818181818181818,0.9969105593634664,0.965996455488003,0.30901670455932617
ExtraTreesClassifier,0.9861878453038674,0.9794419970631424,0.9910846953937593,0.9852289512555391,0.9972436849925705,0.9722596329765528,0.255326509475708
XGBClassifier,0.9872237569060773,0.9801907556859868,0.9925705794947994,0.9863418235511259,0.9977831567847386,0.9743414139808069,0.24799704551696777
LGBMClassifier,0.9865331491712708,0.9787545787545787,0.9925705794947994,0.9856141645149391,0.9975947850261229,0.9729571054640324,0.18204069137573242
GradientBoostingClassifier,0.9851519337016574,0.9779897285399853,0.9903417533432393,0.9841269841269841,0.997629775200115,0.9701805621939107,0.5773181915283203
