Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
KNeighborsClassifier,0.9865331491712708,0.9858736059479554,0.9851411589895989,0.9855072463768116,0.992834204093371,0.9729306614233165,0.1696333885192871
RandomForestClassifier,0.9875690607734806,0.9809104258443465,0.9925705794947994,0.9867060561299852,0.997835642045727,0.9750336696788976,0.2336876392364502
AdaBoostClassifier,0.9872237569060773,0.9808963997060984,0.9918276374442794,0.9863317325452531,0.9980180223361932,0.9743389069033398,0.2430570125579834
ExtraTreesClassifier,0.9875690607734806,0.9809104258443465,0.9925705794947994,0.9867060561299852,0.9973016824042563,0.9750336696788976,0.18878769874572754
XGBClassifier,0.9875690607734806,0.9809104258443465,0.9925705794947994,0.9867060561299852,0.9980549297799933,0.9750336696788976,0.09228706359863281
LGBMClassifier,0.9875690607734806,0.9809104258443465,0.9925705794947994,0.9867060561299852,0.9977975363082969,0.9750336696788976,0.056061744689941406
GradientBoostingClassifier,0.9875690607734806,0.9809104258443465,0.9925705794947994,0.9867060561299852,0.9980081963284284,0.9750336696788976,0.36618494987487793
