Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
KNeighborsClassifier,0.986878453038674,0.9794721407624634,0.9925705794947994,0.9859778597785978,0.9947071370368595,0.9736492259124885,0.11954021453857422
RandomForestClassifier,0.9875690607734806,0.9809104258443465,0.9925705794947994,0.9867060561299852,0.9976237837319657,0.9750336696788976,0.21664643287658691
AdaBoostClassifier,0.9854972375690608,0.9822485207100592,0.986627043090639,0.9844329132690882,0.9978109571969516,0.9708583783120707,0.2344365119934082
ExtraTreesClassifier,0.9875690607734806,0.9809104258443465,0.9925705794947994,0.9867060561299852,0.9972887408330537,0.9750336696788976,0.1925051212310791
XGBClassifier,0.986878453038674,0.9808823529411764,0.9910846953937593,0.9859571322985957,0.9977563150074295,0.9736440762398166,0.10074901580810547
LGBMClassifier,0.986878453038674,0.9808823529411764,0.9910846953937593,0.9859571322985957,0.9977596702295931,0.9736440762398166,0.07332706451416016
GradientBoostingClassifier,0.986878453038674,0.9858841010401189,0.9858841010401189,0.9858841010401189,0.9980587643196089,0.9736260365239898,0.34151411056518555
