Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
RandomForestClassifier,0.999874243891397,0.9923809523809524,0.9980842911877394,0.9952244508118434,0.9999992432370413,0.99516073434735,10.83348035812378
ExtraTreesClassifier,0.999786214615375,1.0,0.9837164750957854,0.9917914051183003,0.9999988282379996,0.9916831094930398,6.643049955368042
XGBClassifier,0.9999371219456985,0.9971291866028709,0.9980842911877394,0.9976065102920058,0.9999995850009581,0.9975746528170363,0.5005252361297607
LGBMClassifier,0.9998993951131177,0.9942748091603053,0.9980842911877394,0.9961759082217974,0.9999992432370414,0.9961249354645254,0.4393799304962158
GradientBoostingClassifier,0.999748487782794,0.9821092278719398,0.9990421455938697,0.9905033238366572,0.9999879162043699,0.9903758895379314,28.786165475845337
