Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
RandomForestClassifier,0.9999874243891397,0.999043062200957,1.0,0.9995213020584012,1.0,0.9995149305634072,9.640469312667847
ExtraTreesClassifier,1.0,1.0,1.0,1.0,1.0,1.0,6.9586098194122314
XGBClassifier,0.9999748487782794,0.9980879541108987,1.0,0.999043062200957,1.0,0.9990303191386424,0.5085785388946533
LGBMClassifier,0.9999748487782794,0.9980879541108987,1.0,0.999043062200957,1.0000000000000002,0.9990303191386424,0.5941741466522217
GradientBoostingClassifier,0.9999874243891397,0.999043062200957,1.0,0.9995213020584012,0.9999999511765834,0.9995149305634072,21.487022638320923
