Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen’s Kappa,Running Time (s)
RandomForestClassifier,0.9999245463348382,0.9980806142034548,0.9961685823754789,0.99712368168744,0.9999989563994682,0.9970854534749214,22.797179460525513
ExtraTreesClassifier,0.999911970723978,1.0,0.9932950191570882,0.9966362325804902,0.9999985291945722,0.9965916348897509,7.3013575077056885
XGBClassifier,0.9998113658370955,0.990467111534795,0.9952107279693486,0.9928332537028189,0.9999973269179364,0.9927376793726099,0.7299973964691162
LGBMClassifier,0.9998868195022573,0.9933269780743565,0.9980842911877394,0.9956999522216914,0.9999992798546038,0.9956426076235659,0.6879489421844482
GradientBoostingClassifier,0.9995095511764484,0.9892891918208374,0.9731800766283525,0.9811685176243361,0.9999350099294624,0.9809200747193267,72.62980484962463
